"2024-02-04 08:00:00","Murdock Trail",2
"2024-02-04 08:00:15","Murdock Trail",0
"2024-02-04 08:00:30","Murdock Trail",1
"2024-02-04 08:00:45","Murdock Trail",3
"2024-02-04 08:01:00","Murdock Trail",0
"2024-02-04 08:01:15","Murdock Trail",2
"2024-02-04 08:01:30","Murdock Trail",2
"2024-02-04 08:01:45","Murdock Trail",0
"2024-02-04 08:02:00","Murdock Trail",1
"2024-02-04 08:02:15","Murdock Trail",3
"2024-02-04 08:02:30","Murdock Trail",0
"2024-02-04 08:02:45","Murdock Trail",2
"2024-02-04 08:03:00","Murdock Trail",2
"2024-02-04 08:03:15","Murdock Trail",0
"2024-02-04 08:03:30","Murdock Trail",0
"2024-02-04 08:03:45","Murdock Trail",1
